"median","LCL","UCL","time","compartment.name","study"
9817.44,857.37115,46883.505,47,"Cell","AtoB"
9898.535,872.7055,46811.185,48,"Cell","AtoB"
5,5,5,0,"Lumen","AtoB"
4.876315,1.032426,4.98202,1,"Lumen","AtoB"
4.771265,0.97290345,4.96415,2,"Lumen","AtoB"
4.683975,0.9371898,4.94636,3,"Lumen","AtoB"
4.607915,0.91679415,4.9286505,4,"Lumen","AtoB"
4.54383,0.89841115,4.9110405,5,"Lumen","AtoB"
4.48765,0.88224215,4.8935305,6,"Lumen","AtoB"
4.433995,0.86775785,4.876071,7,"Lumen","AtoB"
4.38624,0.8524824,4.85882,8,"Lumen","AtoB"
4.342995,0.84509825,4.8415805,9,"Lumen","AtoB"
4.30125,0.83926935,4.8244615,10,"Lumen","AtoB"
4.262085,0.83324125,4.807451,11,"Lumen","AtoB"
4.22569,0.82153485,4.7906115,12,"Lumen","AtoB"
4.189005,0.81399505,4.77379,13,"Lumen","AtoB"
4.155835,0.8084265,4.7569905,14,"Lumen","AtoB"
4.122915,0.80159755,4.740291,15,"Lumen","AtoB"
4.08934,0.79338055,4.7237405,16,"Lumen","AtoB"
4.05965,0.7868292,4.707151,17,"Lumen","AtoB"
4.029985,0.7778717,4.6907325,18,"Lumen","AtoB"
4.000955,0.770504,4.674373,19,"Lumen","AtoB"
3.969805,0.76350185,4.658123,20,"Lumen","AtoB"
3.939415,0.75742485,4.6419105,21,"Lumen","AtoB"
3.910205,0.75216995,4.625791,22,"Lumen","AtoB"
3.88327,0.74816975,4.60979,23,"Lumen","AtoB"
3.858015,0.7417586,4.593841,24,"Lumen","AtoB"
3.83155,0.7342568,4.5780615,25,"Lumen","AtoB"
3.80587,0.72844035,4.562352,26,"Lumen","AtoB"
3.781315,0.72297125,4.546782,27,"Lumen","AtoB"
3.758075,0.71715705,4.531485,28,"Lumen","AtoB"
3.73376,0.7102529,4.5162425,29,"Lumen","AtoB"
3.708955,0.7029981,4.500904,30,"Lumen","AtoB"
3.686235,0.6972657,4.485572,31,"Lumen","AtoB"
3.662025,0.69228995,4.470374,32,"Lumen","AtoB"
3.637895,0.6890371,4.455109,33,"Lumen","AtoB"
3.61377,0.682805,4.440155,34,"Lumen","AtoB"
3.59117,0.67604705,4.42561,35,"Lumen","AtoB"
3.56907,0.67100515,4.410717,36,"Lumen","AtoB"
3.546605,0.6658279,4.3959325,37,"Lumen","AtoB"
3.524185,0.662845,4.3814735,38,"Lumen","AtoB"
3.50253,0.65844025,4.3671505,39,"Lumen","AtoB"
3.480795,0.65489545,4.3525145,40,"Lumen","AtoB"
3.45943,0.64795535,4.337983,41,"Lumen","AtoB"
3.438045,0.6440694,4.324131,42,"Lumen","AtoB"
3.416295,0.6393067,4.309516,43,"Lumen","AtoB"
3.39404,0.63549755,4.295453,44,"Lumen","AtoB"
3.37529,0.63004985,4.281667,45,"Lumen","AtoB"
3.3539,0.6246191,4.267493,46,"Lumen","AtoB"
3.3307,0.62054605,4.2533505,47,"Lumen","AtoB"
3.30911,0.61616415,4.239387,48,"Lumen","AtoB"
5,5,5,0,"Blood","BtoA"
4.78102,1.8507755,4.99291,1,"Blood","BtoA"
4.71727,1.7599955,4.9858905,2,"Blood","BtoA"
4.677305,1.7222285,4.9789,3,"Blood","BtoA"
4.64784,1.6870955,4.97193,4,"Blood","BtoA"
4.624315,1.6700605,4.96503,5,"Blood","BtoA"
4.60196,1.6585735,4.9581505,6,"Blood","BtoA"
4.58161,1.6499435,4.95132,7,"Blood","BtoA"
4.562245,1.6400195,4.9445505,8,"Blood","BtoA"
4.546825,1.6337305,4.9378105,9,"Blood","BtoA"
4.52873,1.627473,4.93111,10,"Blood","BtoA"
4.512015,1.620476,4.924481,11,"Blood","BtoA"
4.49525,1.608563,4.91785,12,"Blood","BtoA"
4.480095,1.60009,4.9112405,13,"Blood","BtoA"
4.466865,1.5944955,4.90467,14,"Blood","BtoA"
4.45211,1.589987,4.898101,15,"Blood","BtoA"
4.438755,1.584788,4.8916225,16,"Blood","BtoA"
4.42492,1.5759025,4.88525,17,"Blood","BtoA"
4.41116,1.5716655,4.8788615,18,"Blood","BtoA"
4.397665,1.5643805,4.87255,19,"Blood","BtoA"
4.384675,1.5600685,4.86622,20,"Blood","BtoA"
4.37102,1.5506425,4.8599405,21,"Blood","BtoA"
4.357525,1.5472975,4.853692,22,"Blood","BtoA"
4.344735,1.5362355,4.8474805,23,"Blood","BtoA"
4.331355,1.524227,4.841253,24,"Blood","BtoA"
4.31984,1.5170655,4.835103,25,"Blood","BtoA"
4.30672,1.5110845,4.829045,26,"Blood","BtoA"
4.29524,1.504004,4.823221,27,"Blood","BtoA"
4.283045,1.4979005,4.8172715,28,"Blood","BtoA"
4.271205,1.4908455,4.8112615,29,"Blood","BtoA"
4.260165,1.4848955,4.80534,30,"Blood","BtoA"
4.249775,1.4798615,4.799502,31,"Blood","BtoA"
4.238195,1.4756455,4.7937145,32,"Blood","BtoA"
4.22585,1.471829,4.787961,33,"Blood","BtoA"
4.21459,1.4647335,4.7822915,34,"Blood","BtoA"
4.203155,1.4603745,4.7767355,35,"Blood","BtoA"
4.19177,1.4578395,4.77141,36,"Blood","BtoA"
4.180375,1.4535685,4.7659305,37,"Blood","BtoA"
4.170235,1.445809,4.76044,38,"Blood","BtoA"
4.159925,1.443293,4.754802,39,"Blood","BtoA"
4.14868,1.434387,4.7492915,40,"Blood","BtoA"
4.138525,1.426803,4.7438805,41,"Blood","BtoA"
4.12625,1.4186265,4.738472,42,"Blood","BtoA"
4.115605,1.4132105,4.733251,43,"Blood","BtoA"
4.104605,1.4081185,4.7279715,44,"Blood","BtoA"
4.094495,1.402586,4.7226605,45,"Blood","BtoA"
4.08411,1.3963845,4.717172,46,"Blood","BtoA"
4.073255,1.393765,4.7122115,47,"Blood","BtoA"
4.062825,1.3908745,4.7071825,48,"Blood","BtoA"
1e-15,1e-15,1e-15,0,"Cell","BtoA"
741.162,5.2270435,10930.78,1,"Cell","BtoA"
932.974,9.707429,11215.905,2,"Cell","BtoA"
1045.085,13.962085,11328.495,3,"Cell","BtoA"
1118.04,18.180245,11430.17,4,"Cell","BtoA"
1175.39,22.199525,11460.01,5,"Cell","BtoA"
1219.98,26.203275,11466.17,6,"Cell","BtoA"
1254.61,30.235245,11477.955,7,"Cell","BtoA"
1292.575,34.17737,11480.88,8,"Cell","BtoA"
1328.125,38.107935,11483.52,9,"Cell","BtoA"
1361.615,41.79215,11476.635,10,"Cell","BtoA"
1384.875,45.535575,11473.305,11,"Cell","BtoA"
1413.28,49.42071,11479.92,12,"Cell","BtoA"
1439.025,53.12419,11482.73,13,"Cell","BtoA"
1465.63,56.75683,11481.55,14,"Cell","BtoA"
1485.395,60.409405,11474.14,15,"Cell","BtoA"
1504.075,64.03987,11487.005,16,"Cell","BtoA"
1522.455,67.48261,11505.525,17,"Cell","BtoA"
1538.125,71.09987,11521.39,18,"Cell","BtoA"
1551.825,74.63018,11530.43,19,"Cell","BtoA"
1573.695,78.188415,11527.735,20,"Cell","BtoA"
1590.255,81.60738,11517.09,21,"Cell","BtoA"
1608.045,84.947155,11517.01,22,"Cell","BtoA"
1622.02,88.476095,11515.33,23,"Cell","BtoA"
1642.16,91.856855,11517.275,24,"Cell","BtoA"
1655.04,95.314575,11526.01,25,"Cell","BtoA"
1670.825,98.55753,11518.71,26,"Cell","BtoA"
1689.485,101.8694,11512.75,27,"Cell","BtoA"
1705.87,105.15845,11505.75,28,"Cell","BtoA"
1719.93,108.4045,11508.73,29,"Cell","BtoA"
1736.225,111.52805,11500.73,30,"Cell","BtoA"
1749.99,114.728,11497.25,31,"Cell","BtoA"
1765.245,117.97155,11512.84,32,"Cell","BtoA"
1779.05,121.1135,11518.205,33,"Cell","BtoA"
1796.23,124.4212,11513.03,34,"Cell","BtoA"
1813.865,127.54575,11516.045,35,"Cell","BtoA"
1828.82,130.8372,11518.54,36,"Cell","BtoA"
1841.995,133.58875,11524.77,37,"Cell","BtoA"
1858.73,136.64675,11534.455,38,"Cell","BtoA"
1871.105,139.73655,11554.055,39,"Cell","BtoA"
1883.01,142.8539,11564.415,40,"Cell","BtoA"
1898.105,145.9558,11562.915,41,"Cell","BtoA"
1911.31,148.73895,11556.425,42,"Cell","BtoA"
1924.045,151.7971,11551.92,43,"Cell","BtoA"
1941.125,154.6929,11556.73,44,"Cell","BtoA"
1955.385,157.3724,11557.04,45,"Cell","BtoA"
1969.675,160.34925,11554.76,46,"Cell","BtoA"
1985.03,163.30385,11553.135,47,"Cell","BtoA"
1998.87,166.17965,11554.625,48,"Cell","BtoA"
1e-15,1e-15,1e-15,0,"Lumen","BtoA"
0.00157055,0.00055193115,0.0037300425,1,"Lumen","BtoA"
0.00331927,0.0014487915,0.007966357,2,"Lumen","BtoA"
0.00510556,0.0023561805,0.01231062,3,"Lumen","BtoA"
0.00689684,0.0032533685,0.016764615,4,"Lumen","BtoA"
0.008675975,0.0041286295,0.021142015,5,"Lumen","BtoA"
0.01044205,0.00498028,0.02554674,6,"Lumen","BtoA"
0.0121961,0.0058204965,0.029948925,7,"Lumen","BtoA"
0.0139344,0.0066588685,0.034376535,8,"Lumen","BtoA"
0.0156518,0.0074818325,0.038726265,9,"Lumen","BtoA"
0.01735635,0.008311601,0.04308583,10,"Lumen","BtoA"
0.0190347,0.0091317495,0.04755668,11,"Lumen","BtoA"
0.0206943,0.0099500635,0.051692125,12,"Lumen","BtoA"
0.02233685,0.010747735,0.056014775,13,"Lumen","BtoA"
0.0239826,0.011536345,0.06009687,14,"Lumen","BtoA"
0.0255879,0.012317635,0.064171,15,"Lumen","BtoA"
0.0271942,0.013100355,0.068129245,16,"Lumen","BtoA"
0.02878975,0.013871795,0.07219069,17,"Lumen","BtoA"
0.03035975,0.01462445,0.07620299,18,"Lumen","BtoA"
0.03191805,0.015402935,0.080217685,19,"Lumen","BtoA"
0.0334515,0.01614136,0.08415473,20,"Lumen","BtoA"
0.03498875,0.016900605,0.088139745,21,"Lumen","BtoA"
0.036521,0.01762958,0.091867085,22,"Lumen","BtoA"
0.0380414,0.01834772,0.095668525,23,"Lumen","BtoA"
0.03953055,0.019072705,0.09942188,24,"Lumen","BtoA"
0.0409989,0.01975557,0.1032102,25,"Lumen","BtoA"
0.04243935,0.020484675,0.1067682,26,"Lumen","BtoA"
0.04389655,0.02115467,0.110418,27,"Lumen","BtoA"
0.04534385,0.021864365,0.11397185,28,"Lumen","BtoA"
0.04676505,0.022541965,0.1174801,29,"Lumen","BtoA"
0.0481845,0.023235895,0.1209219,30,"Lumen","BtoA"
0.04960115,0.023887705,0.12451045,31,"Lumen","BtoA"
