"median","LCL","UCL","time","compartment.name","study"
16307.55,816.4753,56028.645,47,"Cell","AtoB"
16382.3,831.6716,56004.975,48,"Cell","AtoB"
5,5,5,0,"Lumen","AtoB"
4.61978,0.42699765,4.9861505,1,"Lumen","AtoB"
4.443955,0.3881757,4.97238,2,"Lumen","AtoB"
4.323315,0.36655035,4.9586405,3,"Lumen","AtoB"
4.23366,0.35226815,4.944952,4,"Lumen","AtoB"
4.165035,0.3425098,4.931351,5,"Lumen","AtoB"
4.103585,0.33420655,4.9177915,6,"Lumen","AtoB"
4.05386,0.3280108,4.9042905,7,"Lumen","AtoB"
4.005255,0.32326175,4.89082,8,"Lumen","AtoB"
3.96369,0.3201123,4.87739,9,"Lumen","AtoB"
3.925245,0.3133402,4.8640115,10,"Lumen","AtoB"
3.887465,0.30912605,4.850691,11,"Lumen","AtoB"
3.848585,0.3022206,4.837401,12,"Lumen","AtoB"
3.810875,0.29924905,4.8241705,13,"Lumen","AtoB"
3.777305,0.2961586,4.810992,14,"Lumen","AtoB"
3.743005,0.2915535,4.7979305,15,"Lumen","AtoB"
3.71165,0.2881023,4.785001,16,"Lumen","AtoB"
3.68115,0.2851772,4.7719445,17,"Lumen","AtoB"
3.64763,0.2824032,4.758994,18,"Lumen","AtoB"
3.61521,0.27913335,4.7460625,19,"Lumen","AtoB"
3.58414,0.2765707,4.733181,20,"Lumen","AtoB"
3.552115,0.27271595,4.72031,21,"Lumen","AtoB"
3.52258,0.26992845,4.707562,22,"Lumen","AtoB"
3.49339,0.26740955,4.6948315,23,"Lumen","AtoB"
3.464415,0.2652484,4.6821135,24,"Lumen","AtoB"
3.439455,0.2612916,4.6695935,25,"Lumen","AtoB"
3.41376,0.25923675,4.6570245,26,"Lumen","AtoB"
3.386635,0.25705295,4.6445005,27,"Lumen","AtoB"
3.36202,0.2525647,4.632201,28,"Lumen","AtoB"
3.33908,0.2498717,4.619691,29,"Lumen","AtoB"
3.31341,0.24644525,4.6072635,30,"Lumen","AtoB"
3.289565,0.24544445,4.5949245,31,"Lumen","AtoB"
3.266285,0.24375835,4.5826905,32,"Lumen","AtoB"
3.242855,0.2422754,4.570623,33,"Lumen","AtoB"
3.22272,0.2382524,4.5585045,34,"Lumen","AtoB"
3.199725,0.236359,4.54654,35,"Lumen","AtoB"
3.178345,0.2338526,4.5343305,36,"Lumen","AtoB"
3.15391,0.23116885,4.522161,37,"Lumen","AtoB"
3.13168,0.22940865,4.510061,38,"Lumen","AtoB"
3.10896,0.22581745,4.498001,39,"Lumen","AtoB"
3.08474,0.2241806,4.48635,40,"Lumen","AtoB"
3.062665,0.22216205,4.474404,41,"Lumen","AtoB"
3.04304,0.22088565,4.462823,42,"Lumen","AtoB"
3.022535,0.219895,4.451351,43,"Lumen","AtoB"
3.001255,0.2180559,4.4396505,44,"Lumen","AtoB"
2.981405,0.21659785,4.427933,45,"Lumen","AtoB"
2.9611,0.2154897,4.41647,46,"Lumen","AtoB"
2.94075,0.21340725,4.404904,47,"Lumen","AtoB"
2.922115,0.2116257,4.3936135,48,"Lumen","AtoB"
5,5,5,0,"Blood","BtoA"
4.83206,0.92592795,4.99488,1,"Blood","BtoA"
4.73851,0.88121095,4.9897805,2,"Blood","BtoA"
4.67578,0.8552357,4.98471,3,"Blood","BtoA"
4.634215,0.83666095,4.9796705,4,"Blood","BtoA"
4.601815,0.8223627,4.9746405,5,"Blood","BtoA"
4.57801,0.8127545,4.969631,6,"Blood","BtoA"
4.554585,0.8039073,4.9646405,7,"Blood","BtoA"
4.533085,0.7966399,4.9596705,8,"Blood","BtoA"
4.51355,0.79118715,4.9547115,9,"Blood","BtoA"
4.49478,0.7828211,4.9497805,10,"Blood","BtoA"
4.478415,0.7724974,4.9448605,11,"Blood","BtoA"
4.462675,0.7591545,4.93999,12,"Blood","BtoA"
4.44738,0.7508463,4.9351505,13,"Blood","BtoA"
4.431965,0.7430181,4.93033,14,"Blood","BtoA"
4.41648,0.73726655,4.925481,15,"Blood","BtoA"
4.40231,0.7316599,4.9207005,16,"Blood","BtoA"
4.388475,0.72600985,4.91598,17,"Blood","BtoA"
4.375765,0.72046845,4.91132,18,"Blood","BtoA"
4.362875,0.71337285,4.906581,19,"Blood","BtoA"
4.350875,0.7093879,4.901921,20,"Blood","BtoA"
4.33742,0.70585655,4.89723,21,"Blood","BtoA"
