"median","LCL","UCL","time","compartment.name","study"
9.796185,1.3067865,118.3915,44,"Cell","AtoB"
9.88612,1.3301905,118.36195,45,"Cell","AtoB"
9.962135,1.349679,118.3121,46,"Cell","AtoB"
10.04575,1.371824,118.24215,47,"Cell","AtoB"
10.13655,1.396041,118.2117,48,"Cell","AtoB"
2,2,2,0,"Lumen","AtoB"
1.99738,1.9871095,1.99914,1,"Lumen","AtoB"
1.99523,1.9815495,1.99841,2,"Lumen","AtoB"
1.99318,1.9757695,1.99773,3,"Lumen","AtoB"
1.99118,1.96992,1.99708,4,"Lumen","AtoB"
1.98922,1.96401,1.99645,5,"Lumen","AtoB"
1.9873,1.958419,1.99583,6,"Lumen","AtoB"
1.98539,1.95234,1.99521,7,"Lumen","AtoB"
1.98352,1.94628,1.99461,8,"Lumen","AtoB"
1.981665,1.9403085,1.99402,9,"Lumen","AtoB"
1.97984,1.9345275,1.99343,10,"Lumen","AtoB"
1.97802,1.9285985,1.99284,11,"Lumen","AtoB"
1.97623,1.9225895,1.99226,12,"Lumen","AtoB"
1.97445,1.9169475,1.99168,13,"Lumen","AtoB"
1.97267,1.911208,1.9911005,14,"Lumen","AtoB"
1.97089,1.9053495,1.99053,15,"Lumen","AtoB"
1.96916,1.8997085,1.98996,16,"Lumen","AtoB"
1.967425,1.8941385,1.98941,17,"Lumen","AtoB"
1.96572,1.8885085,1.98885,18,"Lumen","AtoB"
1.96404,1.8828195,1.9883005,19,"Lumen","AtoB"
1.96234,1.8773895,1.98776,20,"Lumen","AtoB"
1.96066,1.8721295,1.98725,21,"Lumen","AtoB"
1.95899,1.8667495,1.9867105,22,"Lumen","AtoB"
1.95733,1.861513,1.9861705,23,"Lumen","AtoB"
1.95572,1.856184,1.98568,24,"Lumen","AtoB"
1.95407,1.8510995,1.98514,25,"Lumen","AtoB"
1.95242,1.8457585,1.9846305,26,"Lumen","AtoB"
1.95079,1.8404345,1.98411,27,"Lumen","AtoB"
1.949195,1.8353265,1.9836,28,"Lumen","AtoB"
1.947575,1.83016,1.98311,29,"Lumen","AtoB"
1.94602,1.8251495,1.98262,30,"Lumen","AtoB"
1.94442,1.820038,1.9821405,31,"Lumen","AtoB"
1.94285,1.815028,1.9816405,32,"Lumen","AtoB"
1.941285,1.8100565,1.98115,33,"Lumen","AtoB"
1.93977,1.805239,1.98066,34,"Lumen","AtoB"
1.93823,1.8007485,1.98015,35,"Lumen","AtoB"
1.936685,1.795908,1.97967,36,"Lumen","AtoB"
1.93515,1.791048,1.9791805,37,"Lumen","AtoB"
1.933615,1.786288,1.97871,38,"Lumen","AtoB"
1.93211,1.781559,1.9782405,39,"Lumen","AtoB"
1.93063,1.7769155,1.9777705,40,"Lumen","AtoB"
1.92916,1.7723055,1.97729,41,"Lumen","AtoB"
1.927675,1.767878,1.9768205,42,"Lumen","AtoB"
1.92619,1.763249,1.97635,43,"Lumen","AtoB"
1.92473,1.758698,1.9759005,44,"Lumen","AtoB"
1.92329,1.754229,1.97544,45,"Lumen","AtoB"
1.92185,1.749719,1.9749805,46,"Lumen","AtoB"
1.92044,1.7452355,1.97454,47,"Lumen","AtoB"
1.919045,1.7407945,1.9741005,48,"Lumen","AtoB"
2,2,2,0,"Blood","BtoA"
1.98689,1.9594195,1.99274,1,"Blood","BtoA"
1.97636,1.94413,1.98624,2,"Blood","BtoA"
1.96614,1.9287095,1.9801005,3,"Blood","BtoA"
1.95607,1.9126195,1.97414,4,"Blood","BtoA"
1.946195,1.896849,1.9682,5,"Blood","BtoA"
1.93641,1.8808295,1.96234,6,"Blood","BtoA"
1.92674,1.8651895,1.9564905,7,"Blood","BtoA"
1.91712,1.8492785,1.95067,8,"Blood","BtoA"
1.90753,1.83357,1.9450105,9,"Blood","BtoA"
1.898085,1.8180595,1.9394405,10,"Blood","BtoA"
1.88873,1.8025155,1.9339015,11,"Blood","BtoA"
