"median","LCL","UCL","time","compartment.name","study"
114.9975,18.64445,636.2303,47,"Cell","AtoB"
115.608,18.921375,635.5724,48,"Cell","AtoB"
5,5,5,0,"Lumen","AtoB"
4.97965,4.930689,4.98941,1,"Lumen","AtoB"
4.963515,4.9100095,4.9796,2,"Lumen","AtoB"
4.948025,4.8870095,4.9701505,3,"Lumen","AtoB"
4.93291,4.8647485,4.96102,4,"Lumen","AtoB"
4.91808,4.8417185,4.952051,5,"Lumen","AtoB"
4.90361,4.818387,4.9433005,6,"Lumen","AtoB"
4.88936,4.7950895,4.934841,7,"Lumen","AtoB"
4.875405,4.77152,4.9263905,8,"Lumen","AtoB"
4.861565,4.7491385,4.9180815,9,"Lumen","AtoB"
4.84794,4.7264295,4.90997,10,"Lumen","AtoB"
4.834515,4.704378,4.9018315,11,"Lumen","AtoB"
4.82135,4.6821985,4.89396,12,"Lumen","AtoB"
4.80826,4.660297,4.8859915,13,"Lumen","AtoB"
4.795495,4.63802,4.8782115,14,"Lumen","AtoB"
4.78283,4.6167695,4.8705105,15,"Lumen","AtoB"
4.77038,4.5950905,4.8629805,16,"Lumen","AtoB"
4.75814,4.573729,4.8554405,17,"Lumen","AtoB"
4.7459,4.5527295,4.847991,18,"Lumen","AtoB"
4.73393,4.532029,4.8405705,19,"Lumen","AtoB"
4.72204,4.5114875,4.8332915,20,"Lumen","AtoB"
4.710285,4.4910895,4.8260315,21,"Lumen","AtoB"
4.698545,4.471399,4.8187505,22,"Lumen","AtoB"
4.68705,4.4517675,4.811571,23,"Lumen","AtoB"
4.6756,4.4319465,4.8045905,24,"Lumen","AtoB"
4.66431,4.4134545,4.7977505,25,"Lumen","AtoB"
4.65304,4.393988,4.790961,26,"Lumen","AtoB"
4.64187,4.3747035,4.7840815,27,"Lumen","AtoB"
4.63086,4.355818,4.77731,28,"Lumen","AtoB"
4.619935,4.3371635,4.77065,29,"Lumen","AtoB"
4.609025,4.3189545,4.764191,30,"Lumen","AtoB"
4.598325,4.301009,4.75779,31,"Lumen","AtoB"
4.58768,4.283244,4.7514025,32,"Lumen","AtoB"
4.57726,4.2661795,4.74509,33,"Lumen","AtoB"
4.566805,4.248578,4.73904,34,"Lumen","AtoB"
4.55647,4.231468,4.7329105,35,"Lumen","AtoB"
4.54632,4.21489,4.7270415,36,"Lumen","AtoB"
4.53626,4.1982085,4.7212945,37,"Lumen","AtoB"
4.5262,4.1813395,4.71529,38,"Lumen","AtoB"
4.51618,4.165498,4.7095305,39,"Lumen","AtoB"
4.50642,4.1495595,4.70385,40,"Lumen","AtoB"
4.49671,4.133753,4.69822,41,"Lumen","AtoB"
4.48714,4.1178285,4.6934215,42,"Lumen","AtoB"
4.477665,4.1022685,4.6886205,43,"Lumen","AtoB"
4.468185,4.086489,4.68346,44,"Lumen","AtoB"
4.45874,4.070479,4.6787805,45,"Lumen","AtoB"
4.449415,4.055539,4.6743805,46,"Lumen","AtoB"
4.44025,4.041012,4.6697545,47,"Lumen","AtoB"
4.43122,4.0258895,4.665181,48,"Lumen","AtoB"
5,5,5,0,"Blood","BtoA"
4.95612,4.819579,4.9738605,1,"Blood","BtoA"
4.92112,4.7401165,4.9492005,2,"Blood","BtoA"
4.88705,4.668034,4.925411,3,"Blood","BtoA"
4.853725,4.597985,4.90222,4,"Blood","BtoA"
4.82105,4.528745,4.8794105,5,"Blood","BtoA"
4.78887,4.460129,4.85723,6,"Blood","BtoA"
4.75714,4.388417,4.835012,7,"Blood","BtoA"
4.725775,4.3199285,4.81314,8,"Blood","BtoA"
4.69471,4.248697,4.7916005,9,"Blood","BtoA"
4.66412,4.1811725,4.7702215,10,"Blood","BtoA"
4.63393,4.118328,4.748991,11,"Blood","BtoA"
4.603925,4.053394,4.7279905,12,"Blood","BtoA"
4.5743,3.988576,4.70725,13,"Blood","BtoA"
4.545105,3.9229055,4.686791,14,"Blood","BtoA"
4.5163,3.865042,4.66652,15,"Blood","BtoA"
4.48764,3.8054935,4.6466315,16,"Blood","BtoA"
4.45939,3.747014,4.626291,17,"Blood","BtoA"
4.43119,3.689721,4.606362,18,"Blood","BtoA"
4.40352,3.632183,4.5867105,19,"Blood","BtoA"
4.37598,3.5766435,4.5674105,20,"Blood","BtoA"
4.34874,3.5217935,4.5480555,21,"Blood","BtoA"
4.321725,3.4669385,4.529011,22,"Blood","BtoA"
4.29492,3.4166655,4.5100815,23,"Blood","BtoA"
4.26853,3.366737,4.49129,24,"Blood","BtoA"
4.24235,3.3174455,4.472534,25,"Blood","BtoA"
4.21643,3.2658475,4.45375,26,"Blood","BtoA"
4.190725,3.2161505,4.435259,27,"Blood","BtoA"
4.16539,3.1679975,4.4170605,28,"Blood","BtoA"
4.140285,3.121054,4.3988025,29,"Blood","BtoA"
4.11538,3.0742475,4.3808605,30,"Blood","BtoA"
4.090485,3.027707,4.363345,31,"Blood","BtoA"
