"iter","p_1.1.","p_2.1.","p_3.1.","p_4.1.","GSD_error_C1_blood.1.","GSD_error_C1_cell.1.","GSD_error_C2_cell.1.","GSD_error_C2_lumen.1.","LnPrior","LnData","LnPosterior"
61440,-7.51224,-3.48181,-3.34583,-6.51957,1.29919,2.32532,1.37704,6.27867,-25.55061,-2.279091,-27.82971
61470,-7.22627,-3.15732,-3.56458,-6.32523,1.16047,1.29009,6.5531,6.53405,-26.45123,-4.088781,-30.54001
61500,-6.75055,-2.30788,-3.44879,-6.34046,1.30288,1.3612,6.11355,5.74783,-26.45237,-5.930793,-32.38316
61530,-7.6253,-3.46142,-3.21801,-6.39876,1.28175,2.37061,4.88291,5.00677,-26.60083,-3.286629,-29.88745
61560,-8.24577,-5.6636,-2.46273,-5.67284,1.37638,2.14842,2.47916,1.97627,-24.96004,-1.558183,-26.51822
61590,-8.68051,-5.50161,-2.34379,-6.34461,1.73987,2.64792,2.01052,1.31336,-24.79149,0.8082324,-23.98326
61620,-8.90141,-4.44606,-1.38255,-5.61373,2.13568,5.92049,2.70921,2.14866,-26.65187,-6.587458,-33.23933
61650,-8.44162,-4.73611,-0.784935,-4.05488,1.34817,1.28619,4.36744,1.73526,-24.96839,-2.822796,-27.79118
61680,-8.02749,-5.61626,-1.07044,-5.10269,2.7494,3.04649,4.25734,1.30372,-26.18493,-3.816563,-30.00149
61710,-7.48311,-5.36399,-2.17233,-5.17875,2.10275,2.82794,6.91272,1.23253,-26.22517,-1.541158,-27.76633
61740,-8.77021,-5.5573,-0.529058,-4.20829,8.41305,5.32119,4.87117,1.27444,-28.02211,-4.573788,-32.59589
61770,-6.74103,-5.57635,1.00788,-0.973541,1.29729,1.76189,4.28373,1.22606,-25.05512,-4.422849,-29.47797
61800,-9.21106,-5.62519,2.32969,-2.07712,1.53478,1.75165,1.34251,1.4309,-24.27176,-0.7156211,-24.98738
61830,-9.2712,-5.92878,2.8051,-1.51356,1.53962,4.58819,1.75543,1.44733,-25.57162,-1.851776,-27.42339
61860,-8.8853,-5.52997,3.6544,-0.146208,1.48744,1.25876,2.25242,1.28253,-24.49707,0.449957,-24.04711
61890,-9.81313,-5.62045,2.71652,-2.08281,1.29319,3.39187,1.54195,1.18429,-24.74985,1.531876,-23.21798
61920,-9.37872,-5.31861,2.22686,-2.3858,1.43358,7.85661,1.80344,1.29949,-25.89149,-0.4124668,-26.30396
61950,-9.51646,-5.62676,1.74328,-2.7282,1.65404,5.83231,1.59537,1.59828,-25.77659,-0.2110285,-25.98762
61980,-9.84041,-5.33143,2.20865,-2.85129,1.36716,8.6483,2.83917,1.54384,-26.55912,-1.329844,-27.88896
62010,-9.9842,-5.62482,3.49708,-1.35178,2.12541,4.5022,4.18822,1.82782,-27.05451,-3.167447,-30.22196
62040,-8.97003,-5.58726,2.49722,-1.781,2.73535,3.02671,1.6833,1.22923,-25.49015,-1.235555,-26.72571
62070,-10.4964,-5.8691,2.67654,-2.64611,1.57902,6.27668,3.94657,1.90514,-26.97256,-2.827913,-29.80048
62100,-12.1013,-5.58766,4.35838,-2.11794,2.34593,2.86905,2.20677,1.31688,-25.84096,-7.692446,-33.53341
62130,-9.10269,-5.52574,4.39477,-0.440082,2.94625,3.17921,2.05056,1.39091,-26.14414,-2.81114,-28.95528
62160,-7.84467,-5.63674,3.60626,1.00877,1.59133,6.43528,4.78915,1.2244,-26.95182,-0.8028438,-27.75467
62190,-8.59105,-4.33385,4.61878,1.1187,1.27181,1.64389,1.34253,3.15132,-25.15361,-2.72685,-27.88046
62220,-7.81087,-5.0578,4.0817,1.09396,1.85273,1.28309,3.57454,2.25782,-25.86108,-3.225104,-29.08619
62250,-7.36099,-5.04252,3.55287,0.774046,2.91907,7.48512,2.61881,2.36183,-27.74945,-7.359121,-35.10857
62280,-8.26538,-5.43637,4.11462,1.02606,1.69915,1.86462,3.42978,1.17203,-25.44912,-1.057439,-26.50656
62310,-8.62748,-5.13579,4.47066,0.95049,1.28074,1.52494,2.34111,1.68649,-24.98084,-0.4084386,-25.38927
62340,-8.40767,-5.71709,4.53745,1.22288,1.89603,3.30844,3.46553,1.28966,-26.28467,-0.8824532,-27.16712
62370,-9.15109,-5.59287,6.958,2.93122,1.79414,2.06216,7.92862,1.25763,-26.91776,0.2455963,-26.67216
62400,-9.53466,-5.49705,8.61274,4.20057,2.08905,9.45628,2.99048,2.12646,-28.43481,-3.636159,-32.07097
62430,-10.2188,-5.29225,8.96327,3.71134,1.5019,4.68914,1.6401,1.57193,-26.51965,-1.084646,-27.60429
62460,-10.061,-5.41326,8.76673,3.93972,1.573,3.8614,1.48702,1.36338,-26.1212,0.6550454,-25.46615
62490,-7.71138,-5.73323,8.48747,5.75254,4.53524,3.74439,7.22365,1.30081,-28.77266,-4.493042,-33.2657
62520,-8.80667,-5.42982,8.46254,5.17778,1.91716,2.20184,2.8068,1.19756,-26.3103,-2.201269,-28.51157
62550,-8.36315,-5.57693,8.58827,4.90703,2.0457,1.40496,5.4746,2.75749,-27.41108,-4.211278,-31.62236
62580,-9.79824,-5.45017,10.2762,6.09324,1.61325,2.02413,4.54689,1.60383,-27.15511,-3.668908,-30.82401
62610,-9.18169,-5.45018,10.6472,6.70044,1.40234,6.25621,9.04561,1.53176,-28.88284,-1.106826,-29.98967
62640,-9.91713,-5.74905,10.7012,5.7637,1.74554,3.89848,6.45534,1.2613,-28.02313,-1.425845,-29.44898
62670,-8.73013,-5.74967,9.76688,6.51917,2.44107,1.15522,9.311,1.51376,-27.62286,-1.071433,-28.69429
62700,-9.1187,-5.852,9.03485,4.92439,2.10273,2.38799,2.02323,1.43172,-26.38063,-2.195274,-28.57591
62730,-7.95508,-5.74043,9.3854,6.84252,1.45604,2.63812,4.06023,1.20488,-26.85115,-2.955553,-29.8067
62760,-8.55621,-5.83404,8.51377,4.95349,1.38574,3.00233,2.17509,1.34439,-26.13491,-1.240779,-27.37569
62790,-7.9182,-5.80791,8.76761,5.70591,1.4516,1.16086,8.23102,1.76973,-26.92991,-1.42888,-28.35879
62820,-8.85761,-5.53287,9.15303,5.49338,2.27109,7.33224,4.00543,1.2068,-28.15665,-1.376964,-29.53361
62850,-8.93622,-5.59019,7.82433,2.8991,4.7022,2.04572,1.10871,1.18329,-25.93268,-3.483398,-29.41608
62880,-9.04323,-5.66072,4.7865,0.738133,1.61563,2.30736,3.11455,1.28201,-25.65365,0.8521378,-24.80151
62910,-8.94033,-5.7879,5.67942,1.15049,3.5031,7.88515,3.30191,1.7902,-28.15223,-5.458967,-33.61119
62940,-10.2233,-4.31184,6.37127,1.01432,1.57052,2.39242,2.31435,6.66232,-27.22195,-8.778686,-36.00064
62970,-9.84849,-5.70571,5.91124,1.00046,1.58491,3.7155,1.18812,1.40407,-25.3725,1.589752,-23.78275
63000,-9.20099,-5.75631,4.5044,0.442851,1.45965,2.30798,1.57233,1.66022,-25.08786,-1.431193,-26.51905
63030,-9.56658,-5.73294,2.88008,-0.866267,2.45737,2.27299,2.12521,1.39711,-25.53326,-3.364296,-28.89755
63060,-10.6136,-5.54572,4.26522,-1.01197,2.2658,3.27252,1.94349,1.49216,-25.92288,-2.493964,-28.41684
63090,-9.35816,-5.4004,4.21873,0.0802405,2.1974,4.93705,7.88414,1.44377,-27.69242,-2.268002,-29.96042
63120,-9.61746,-5.64671,4.70834,-0.0483982,1.39884,2.27981,4.10518,1.57754,-25.94188,-1.314602,-27.25648
63150,-9.44425,-5.6046,4.16852,-0.62047,1.97767,5.0355,1.56216,1.39894,-25.91664,-0.450421,-26.36706
63180,-9.801,-5.49516,3.56515,-0.901693,1.33817,4.49887,8.39688,2.0753,-27.43586,-4.13618,-31.57204
63210,-9.82948,-5.4497,3.6468,-1.01266,1.92727,5.25919,5.11714,1.26787,-26.97139,-0.8995593,-27.87095
63240,-10.7143,-6.29582,3.84142,-1.45155,2.52229,3.41187,5.15491,1.93822,-27.25222,-7.462883,-34.7151
63270,-9.47597,-5.66848,5.41432,0.941669,3.60345,2.70795,1.27475,1.52684,-25.97372,-3.63267,-29.60639
63300,-9.05025,-5.34128,4.34987,0.488035,1.36129,3.55675,7.8066,1.31012,-26.80719,-0.5766064,-27.3838
63330,-9.96804,-5.61524,5.26635,-0.0448193,2.60069,5.45097,9.67008,2.83074,-28.93336,-6.947631,-35.88099
63360,-10.9033,-5.71918,4.69328,-0.888562,1.41211,2.67067,3.15444,1.41361,-25.72612,-3.097495,-28.82361
63390,-8.85357,-5.58209,5.66913,2.52269,2.77895,2.0676,3.73365,1.41761,-26.56174,-2.74423,-29.30597
63420,-10.3365,-5.57514,8.72451,3.41688,2.02455,9.86414,5.41533,1.18403,-28.42122,-1.373159,-29.79438
63450,-10.6098,-5.68289,9.13227,3.3866,1.33671,8.62319,2.61725,1.32744,-27.31153,-0.5825633,-27.89409
63480,-9.26954,-5.58893,8.94504,5.09577,4.33087,1.64047,5.94782,1.18938,-27.63017,-2.978079,-30.60825
63510,-7.80736,-5.50641,7.69786,4.88511,1.28126,1.74288,3.8051,1.26995,-25.91233,0.8900628,-25.02226
63540,-8.61074,-4.96751,8.2458,4.65982,1.29706,2.06306,3.05675,2.10732,-26.43702,-1.320179,-27.7572
63570,-8.00513,-5.24815,8.74727,5.96674,1.83118,6.87467,3.38438,1.41053,-27.85447,-3.114989,-30.96946
63600,-8.59861,-5.51844,9.49008,5.84607,1.28616,3.83677,9.85455,1.5094,-28.13575,-0.319266,-28.45501
63630,-9.63814,-5.17808,10.2562,5.71666,1.33053,2.46346,1.5739,2.00031,-26.27976,-0.9023544,-27.18211
63660,-8.65706,-5.05977,8.86842,5.23037,1.32428,1.51341,6.56678,1.73461,-26.84095,-0.8378919,-27.67884
63690,-8.42561,-5.61413,8.28822,4.50744,1.65998,1.66887,3.89243,1.22027,-26.14853,-0.02296869,-26.1715
63720,-8.24111,-5.55623,7.68203,4.44231,1.36361,3.2015,3.28741,1.1757,-26.32208,0.7268097,-25.59527
63750,-7.95232,-4.25138,7.4775,4.3259,1.49069,2.63477,4.34014,4.8026,-27.88632,-4.603362,-32.48969
63780,-7.93024,-4.13857,7.87799,4.74299,1.2744,3.62687,4.78629,4.48579,-28.16095,-3.5824,-31.74335
63810,-7.98705,-3.59359,8.22962,4.95104,1.15137,2.35811,1.53377,2.99668,-26.15858,-1.413706,-27.57229
63840,-8.52216,-4.18305,8.80627,5.06437,1.2988,1.32057,2.74057,7.29636,-27.23889,-3.744948,-30.98383
63870,-8.36964,-5.03892,8.73,4.97733,1.79292,3.25948,7.89433,4.11952,-28.91768,-6.104291,-35.02197
63900,-8.67224,-4.58038,8.73,4.97733,1.70807,1.25758,1.80384,3.00961,-26.13761,-4.365924,-30.50353
63930,-7.76446,-5.02357,7.83524,4.78648,1.73283,2.58356,2.51552,2.29316,-26.79713,-4.048525,-30.84565
63960,-8.38045,-5.42191,8.42169,5.12075,1.53338,1.14174,3.95265,1.60324,-26.04901,1.589366,-24.45965
63990,-7.96845,-5.33803,8.15042,5.39836,1.57526,1.81595,7.76092,1.68311,-27.25477,-1.472637,-28.72741
64020,-8.88414,-5.42253,8.41264,3.80643,2.59436,3.72634,1.17895,1.68987,-26.49337,-2.781268,-29.27464
64050,-9.54949,-5.54513,7.50116,2.67628,2.89975,6.98054,1.38508,1.43368,-27.0506,-1.431016,-28.48162
64080,-9.17702,-5.61799,7.61483,3.65555,2.11477,3.07518,2.23346,1.16852,-26.26765,-0.9488465,-27.21649
64110,-8.62635,-5.3169,8.94626,5.70425,1.64732,6.29209,4.86355,1.92598,-28.33835,-3.51727,-31.85562
