"iter","p_1.1.","p_2.1.","p_3.1.","p_4.1.","GSD_error_C1_blood.1.","GSD_error_C1_cell.1.","GSD_error_C2_cell.1.","GSD_error_C2_lumen.1.","LnPrior","LnData","LnPosterior"
61500,1.7255,3.90066,-5.39359,-7.75952,3.88606,1.26201,8.35336,1.5371,-27.06973,9.539174,-17.53055
61530,1.54954,4.27598,-6.87535,-8.2135,8.35349,5.97353,1.63748,1.41638,-27.69319,6.448312,-21.24488
61560,1.97154,3.94785,-5.17598,-7.33106,5.55974,4.39854,4.02141,2.46212,-28.43726,8.304379,-20.13288
61590,2.97778,5.74961,-5.24774,-8.10257,3.85159,1.42189,2.58499,1.69799,-26.36225,10.23481,-16.12743
61620,2.28061,5.94066,-5.78753,-8.81415,3.88523,6.86428,5.04858,1.43808,-28.41942,5.478309,-22.94111
61650,1.61711,4.1056,-6.56858,-7.93593,1.96194,3.4287,2.56595,1.90787,-26.42439,10.46226,-15.96213
61680,2.10126,4.22385,-6.36025,-6.51061,2.74656,6.31964,1.2265,4.88091,-27.61266,8.45135,-19.16131
61710,3.32773,4.91653,-4.91279,-7.3947,7.87141,3.22762,1.13239,2.17757,-27.26988,10.24042,-17.02945
61740,2.78292,5.1786,-6.74992,-7.77373,2.18735,2.77523,3.27674,1.78984,-26.67446,9.584031,-17.09043
61770,4.1559,4.93411,-5.32252,-6.57353,3.60562,8.8978,4.50005,1.89585,-28.80651,9.280366,-19.52615
61800,3.37261,5.77723,-6.25593,-7.43061,1.93701,5.46305,2.32973,3.5515,-27.67441,8.717774,-18.95664
61830,4.43461,6.49958,-6.16932,-7.43061,1.87775,7.42047,2.66799,2.1839,-27.75706,10.33314,-17.42392
61860,4.91522,5.0994,-5.02639,-6.21658,6.2196,2.84017,2.00515,2.26497,-27.66499,5.974861,-21.69013
61890,4.69861,5.84928,-6.42546,-7.1681,1.9579,8.55976,3.9788,1.68069,-28.03616,10.77341,-17.26275
61920,4.69861,6.35346,-5.62482,-7.13416,7.50511,4.81016,1.78732,5.54752,-29.25216,6.978058,-22.2741
61950,6.16653,9.19451,-5.36559,-8.79534,2.68595,2.53244,8.4998,3.15103,-29.04413,8.094964,-20.94917
61980,4.01762,6.90505,-5.87625,-8.90282,1.81445,4.16717,2.15128,2.31635,-27.01193,8.606999,-18.40493
62010,5.22626,8.34123,-6.18158,-8.91174,2.55988,1.82838,4.1496,1.7204,-27.1525,12.24192,-14.91058
62040,6.26804,8.55831,-5.21068,-7.76732,8.62114,8.39299,1.2851,2.69573,-29.28879,4.593128,-24.69567
62070,6.99507,8.96879,-5.09647,-6.346,3.64047,4.14144,1.14744,4.24497,-28.1838,7.279198,-20.90461
62100,4.91016,7.35214,-6.03196,-8.2286,2.19103,4.50446,4.55313,2.99017,-28.3978,9.780316,-18.61749
62130,5.23726,8.62261,-6.09887,-8.77674,4.46728,1.13034,7.28003,1.65608,-27.78462,12.05895,-15.72567
62160,5.44088,8.54613,-5.70512,-8.91395,1.73941,8.26189,5.12351,1.65168,-28.49143,8.610309,-19.88112
62190,5.36638,8.88567,-6.70071,-9.31331,3.9781,5.18194,6.88082,1.49724,-29.0834,10.36261,-18.72079
62220,4.98685,8.50673,-6.1372,-9.02818,2.45014,1.53935,3.4325,2.72083,-27.20478,10.53821,-16.66657
62250,4.62052,7.94156,-5.5581,-9.1061,4.75284,2.41366,5.50283,1.5745,-28.15115,10.39086,-17.76029
62280,4.80481,7.04842,-5.38847,-7.9173,5.85985,1.59897,2.38784,1.64022,-27.06133,11.08837,-15.97296
62310,5.79865,6.89448,-5.39892,-6.71439,5.34729,5.95419,1.69802,2.22371,-28.31955,9.490417,-18.82913
62340,5.26471,6.62002,-5.67086,-6.36061,1.8406,5.99403,4.36895,1.86912,-27.95084,6.529825,-21.42101
62370,4.58352,6.29291,-5.98139,-7.15608,5.65296,7.39762,3.78844,1.87372,-29.04599,9.412035,-19.63395
62400,4.70143,7.13135,-5.30632,-7.95932,2.7077,2.75591,2.23398,1.65499,-26.777,10.30229,-16.47471
62430,4.52833,7.17753,-5.56472,-8.1432,4.39477,1.20707,2.98007,1.57594,-26.66355,11.51993,-15.14362
62460,4.52833,6.54137,-4.62387,-7.58698,6.93226,1.51969,3.83683,2.76372,-28.10684,8.526508,-19.58033
62490,4.55399,7.04053,-6.20642,-8.15406,3.11906,2.43347,1.47537,1.67509,-26.36265,9.750421,-16.61223
62520,5.22485,6.67994,-6.49609,-7.39054,4.25885,4.52515,1.30409,1.60194,-27.14245,11.67166,-15.47079
62550,5.23492,5.43527,-6.24756,-6.15471,3.64656,5.69808,3.9099,1.49399,-28.1274,9.049312,-19.07808
62580,4.94127,5.85008,-6.04003,-6.30555,3.40995,8.55626,4.4353,1.53504,-28.63316,9.392375,-19.24078
62610,5.06451,7.086,-6.27408,-7.53129,1.64811,5.14118,1.67465,1.91384,-26.77784,10.4642,-16.31364
62640,4.73792,6.93647,-5.8557,-7.66419,2.13664,3.24649,4.50293,3.53628,-28.13938,8.931483,-19.2079
62670,4.61306,7.46231,-6.33205,-8.2386,8.10201,3.37632,2.75127,1.93507,-28.46252,8.694422,-19.7681
62700,4.64659,6.52937,-5.71992,-6.75729,3.29065,3.70369,1.28092,2.28823,-26.95973,9.749591,-17.21013
62730,4.04291,7.69463,-6.18406,-8.30149,2.50204,2.47999,4.68018,2.18125,-27.60845,7.602956,-20.00549
62760,6.89088,9.54263,-5.79939,-8.47091,5.33318,2.7143,3.57606,2.50915,-28.81345,9.335281,-19.47816
62790,6.74525,9.2137,-5.61559,-7.89858,3.10965,1.42874,3.42409,1.76373,-27.17698,11.03395,-16.14303
62820,6.73125,10.3737,-6.17356,-9.88521,3.03697,3.99317,2.37113,2.51141,-28.33727,7.190141,-21.14713
62850,7.58082,9.95343,-6.01458,-7.8826,5.58862,3.0186,3.74011,1.67119,-28.72292,10.17996,-18.54296
62880,6.80083,8.92123,-5.68021,-7.60706,3.33169,3.17145,2.26136,1.85793,-27.64853,10.95123,-16.69729
62910,6.77825,8.0385,-6.49193,-6.89988,2.39604,5.55787,1.66546,1.45112,-27.21521,11.77325,-15.44196
62940,7.1263,9.16239,-6.30837,-8.05366,3.00896,5.1614,1.44922,2.27923,-27.85495,10.18753,-17.66743
