"iter","p_1.1.","p_2.1.","p_3.1.","p_4.1.","GSD_error_C1_blood.1.","GSD_error_C1_cell.1.","GSD_error_C2_cell.1.","GSD_error_C2_lumen.1.","LnPrior","LnData","LnPosterior"
61500,-3.96727,-0.906229,-3.99195,-7.79754,2.68754,1.28489,1.28401,2.31983,-24.72816,3.239802,-21.48836
61530,-4.1309,-1.41118,-4.17632,-7.87142,2.0907,2.52713,1.16738,1.39623,-24.52167,7.514547,-17.00712
61560,-4.09367,-1.57666,-4.29238,-7.83719,1.63676,1.1629,2.92026,1.62668,-24.56183,3.993193,-20.56864
61590,-4.10741,-1.40763,-4.23417,-7.54489,2.9193,1.34507,2.44151,3.33742,-25.83164,1.705079,-24.12657
61620,-3.89587,-1.16118,-3.97304,-7.90813,2.23503,5.53093,1.95875,1.25688,-25.80445,5.593873,-20.21057
61650,-3.38997,-0.270951,-4.57666,-8.39916,5.01951,3.94677,1.59014,1.40367,-26.22471,3.712013,-22.5127
61680,-3.27499,-0.786815,-4.28296,-8.0258,3.11749,1.62283,1.96748,1.57431,-25.16743,4.707659,-20.45977
61710,-3.48617,-1.84227,-4.24675,-6.94638,1.66648,8.86288,4.01279,1.52538,-26.86583,4.062934,-22.8029
61740,-3.89358,-1.72713,-3.40899,-7.38881,3.39913,8.99888,2.56073,1.34302,-27.03224,3.599533,-23.43271
61770,-4.19767,-1.10346,-4.01742,-8.10623,3.20988,2.00427,2.81954,1.36234,-25.59285,3.802217,-21.79064
61800,-3.43998,-1.24539,-4.75626,-7.54823,1.84562,8.13834,1.96852,1.24546,-25.98535,5.890253,-20.09509
61830,-3.79965,-0.47551,-4.41987,-8.64547,1.67594,5.49692,1.68287,1.35816,-25.46829,5.815256,-19.65303
61860,-3.89627,-0.405673,-3.94461,-8.84682,3.34602,9.10159,6.02823,1.17134,-27.80566,3.64793,-24.15773
61890,-2.54441,1.10288,-4.73776,-9.11853,1.65338,4.21632,6.75173,1.56445,-26.84304,3.951392,-22.89165
61920,0.328112,0.722423,-4.16733,-5.41567,1.68265,6.79718,3.0572,2.08511,-26.93689,-0.4288981,-27.36579
61950,-0.229964,0.367561,-4.52898,-5.94305,2.11537,3.24035,6.64009,1.18305,-26.57271,2.795844,-23.77687
61980,-0.00993655,1.15977,-4.68902,-6.89634,1.53783,6.1219,3.8066,1.44676,-26.58572,1.901774,-24.68395
62010,-1.13404,1.61974,-4.20193,-8.51825,2.00429,4.56791,2.26953,4.77504,-27.22862,0.0578246,-27.1708
